Country_Name,Country_code,Year,log_gdp_per_capita,annual_inflation,change_in_volume_of_imports,change_in_volume_of_exports,unemployment_rate,gov_revenue_per_GDP,log_gov_expenditure_per_GDP,gov_lending_minus_borrowing_per_GDP,gov_net_debt_per_GDP,exports_minus_imports_per_GDP,log10_share_world_GDP,
Kosovo,KSV,2025,4.393464114959287,1.954,4.42,4.4879999999999995,6.232,40.771,1.6388884247050755,-0.312,49.053,-1.115,-0.7832711637192078,
Kuwait,KWT,2025,4.384725890857966,2.5,2.36,1.252,9.305,53.559,1.7688969730884911,-19.14,64.471,1.778,-0.6308024356422358,
Kyrgyz Republic,KGZ,2025,3.159988050381987,4.952,6.653,14.392,6.605,32.095,1.5452328717469659,-1.839,35.7815,-8.932,-1.7295541739981486,
Lao PDR,LAO,2025,3.4640586161191362,3.1,2.793,6.488,3.9684999999999997,15.402,1.2975854452973465,-2.099,35.7815,-7.454,-1.3769610240330967,
Latvia,LVA,2025,4.365509324698907,2.26,3.58,2.783,7.387,43.43,1.646011409591239,-0.069,33.578,-1.196,-1.0896911789178303,
Lebanon,LBN,2025,3.3650384821957053,3.432,4.327500000000001,4.638,9.305,21.570500000000003,1.398148420008631,-1.0915,64.471,-4.374499999999999,-1.423726776798834,
Lesotho,LSO,2025,3.094331349277096,4.981,7.71,-0.026,9.305,46.336,1.669540015259445,1.583,5.583,-20.223,-2.3196108600625576,
Liberia,LBR,2025,2.8296883552414083,5.5,0.865,2.097,9.305,28.179,1.4778589284936956,-0.956,60.15,-21.89,-2.1985104672290903,
Libya,LBY,2025,3.859621578861859,12.209,7.388,16.219,9.305,62.645,1.9639199838172567,-29.383,64.471,-8.325,-1.002697493136699,
Liechtenstein,LIE,2025,4.393464114959287,1.954,4.42,4.4879999999999995,6.232,40.771,1.6388884247050755,-0.312,49.053,-1.115,-0.7832711637192078,
Lithuania,LTU,2025,4.413983532774975,2.012,4.207,3.484,6.4,35.278,1.5503506723016154,0.131,36.961,0.759,-0.8938107531008409,
Luxembourg,LUX,2025,5.134323760831777,1.9,3.724,3.748,6.327,43.976,1.645893645461109,-0.456,2.078,4.525,-0.7868160514962171,
Macao SAR China,MAC,2025,4.893893028940719,2.6,5.016,6.488,1.795,27.632,1.22284647997415,-2.501,35.7815,25.838,-0.9556862976505579,
Macedonia FYR,MKD,2025,3.9008934258345214,1.819,6.752,8.204,16.009,29.341,1.512230657664238,-1.8,49.731,-2.77,-1.5134121539739465,
Madagascar,MDG,2025,2.7980841052113123,5.5,8.559,6.119,9.305,12.264,1.2331230785210814,-4.014,64.471,-3.54,-1.44995811617327,
Malawi,MWI,2025,2.6050193739490015,5.534,2.409,8.341,9.305,25.391,1.476454825454303,-2.061,64.471,-17.676,-1.7843665505960908,
Malaysia,MYS,2025,4.116743190868133,1.94,4.489,4.258,3.3,19.322,1.3596457926745429,-1.298,35.7815,1.64,-0.06731660552901969,
Maldives,MDV,2025,4.2318484133653556,2.015,12.554,12.587,3.9684999999999997,23.164,1.479143247978613,-3.984,35.7815,-8.801,-1.8801419511692632,
Mali,MLI,2025,3.041064866538387,2,4.59,5.061,9.305,21.755,1.4023473728483684,-1.748,26.552,-3.59,-1.3519408167191076,
Malta,MLT,2025,4.560768137642354,1.534,1.7,2.4,4.1,37.218,1.6009620109768665,-1.26,49.053,9.417,-1.451011442858409,
Marshall Islands,MHL,2025,3.6505571464167907,2,3.658,7.978,5.253,69.856,1.8547613566936363,-1.454,47.248,3.955,-3.3423765473674507,
Mauritania,MRT,2025,3.2818216576048913,4,3.137,-0.29,9.305,19.379,1.2774716850428258,1.263,60.503,-4.836,-1.8069213089841554,
Mauritius,MUS,2025,4.047927182226041,3.432,4.204,7.142,7.3,23.202,1.4624279482097782,-3.308,64.471,-6.928,-1.5986387915677551,
Mexico,MEX,2025,3.9550977095474993,2.988,4.3,3.138,4.423,22.897,1.4047824189666427,0.761,56.345,-1.499,0.33414414122925096,
Micronesia Fed.Sts.,FSM,2025,3.6229648377811676,2,3.658,4.186,5.253,64.571,1.7790839811930255,4.653,47.248,5.299,-3.123697844540601,
Moldova,MDA,2025,3.7207974540235114,5,4.247,5.778,3,30.424,1.518342820465343,-1.662,49.053,-9.237,-1.612358150705295,
Monaco,MCO,2025,4.393464114959287,1.954,4.42,4.4879999999999995,6.232,40.771,1.6388884247050755,-0.312,49.053,-1.115,-0.7832711637192078,
Mongolia,MNG,2025,3.669068508430119,7.288,6.951,9.259,8.748,30.622,1.530391821401041,-0.5,35.7815,-5.865,-1.5055692558475708,
Montenegro,MNE,2025,4.009737639448354,1.374,9.359,17.024,6.232,41.966,1.6423556856654447,0.667,49.053,-9.178,-1.935372129067908,
Morocco,MAR,2025,3.5694008326971796,1.6,4.761,6.948,9.1,27.169,1.4915577825513346,-1.14,73.976,-4.059,-0.5971143309898912,
Mozambique,MOZ,2025,2.687148006205275,5.501,1.117,22.857,9.305,27.656,1.4646832526252753,1.089,64.471,-68.312,-1.4363943355453996,
Myanmar,MMR,2025,3.230814086115288,5.963,9.873,9.797,3.9684999999999997,16.017,1.3215570079385441,-2.984,35.7815,-4.167,-0.7397720553503442,
Namibia,NAM,2025,3.6902306449484876,4.5,5.189,6.426,9.305,32.567,1.6005481897240836,-1.964,73.492,-2.197,-1.6002658456558154,
Nepal,NPL,2025,3.1300409231334165,5.6,5.016,6.488,3.9684999999999997,25.309,1.4728734152435599,-3.402,35.7815,-5.213,-1.1099904012355413,
Netherlands,NLD,2025,4.797514125144629,1.6,3.7,3.3,4,42.754,1.6421676344049452,-0.312,48.776,8.617,0.2873813855960962,
New Caledonia,NCL,2025,3.6505571464167907,2.096,3.658,4.186,5.253,36.496,1.5945251391360056,-1.651,47.248,-2.553,-2.7860740466001634,
New Zealand,NZL,2025,4.652264428169688,1.559,4.492,4.164,5.253,36.496,1.6049816296074315,-2.991,40.422,-3.42,-0.36570483354059924,
Nicaragua,NIC,2025,3.2774579297210478,3.5,5.519,0.712,7.157,27.732,1.4589247662340947,0.392,54.8855,-0.888,-1.6572376222782257,
Niger,NER,2025,2.836796770915619,2,5.855,38.786,9.305,18.345,1.3185432991220218,-1.263,40.242,-7.758,-1.4432527475931083,
Nigeria,NGA,2025,3.432829845538161,10.995,3.643,6.167,9.305,7.226,1.06628864526571,-2.719,34.17,-0.869,0.10437350680950586,
Northern Mariana Islands,MNP,2025,3.6505571464167907,2.096,3.658,4.186,5.253,36.496,1.5945251391360056,-1.651,47.248,-2.553,-2.7860740466001634,
Norway,NOR,2025,4.915934010671585,1.9,3.649,3.38,3.9,56.58,1.7123634442765472,2.908,-118.016,4.414,-0.09627206322473934,
Oman,OMN,2025,4.207535273400538,2.8,4.347,6.273,9.305,34.523,1.6483892882737465,-6.499,87.252,-4.716,-0.8541797686682348,
Pakistan,PAK,2025,3.6767548636844976,6.522,6.217,6.091,4.947,17.691,1.3360993400850856,1.553,72.915,-2.553,-0.5046446687363084,
Palau,PLW,2025,4.213449220716339,1.5,21.275,45.924,5.253,39.529,1.5945251391360056,-1.651,47.248,-30.268,-3.2752042087928412,
Panama,PAN,2025,4.196754122447797,2,4.219,7.066,8.814,20.084,1.3442350345516394,0.288,46.046,-4.484,-0.8682821890271968,
Papua New Guinea,PNG,2025,3.4301411949201985,3.972,2.824,0.828,5.253,15.976,1.3035416269488895,-1.651,47.248,16.592,-1.342155508254574,
Paraguay,PRY,2025,3.7658882536772014,3.308,5.4,4.754,5.777,19.036,1.3366998303156619,-1.095,32.065,0.567,-1.086104998884406,
Peru,PER,2025,3.8408510358957573,1.995,5.262,4.191,6.5,20.6,1.3651134316275773,-0.74,26.621,-0.716,-0.35764144427102645,
Philippines,PHL,2025,3.6181747038758254,3,6.744,7.307,6.154,17.747,1.3794868137172738,-3.555,35.7815,-2.182,-0.029908373355861335,
Poland,POL,2025,4.296755329912544,1.954,3.8,3.5,4.711,40.008,1.642780974929156,-2.087,52.841,0.219,0.15133542796287403,
Portugal,PRT,2025,4.45237471311118,1.239,7.885,7.893,6.482,44.837,1.6584502418093963,1.6,113.77,-3.429,-0.2908115095341537,
PuertoRico,PRI,2025,4.5187207727166285,1.097,4.828,4.7524999999999995,9.5,19.748,1.333205372625344,0.251,54.8855,-3.306,-0.780057723369122,
Qatar,QAT,2025,4.787921800137901,2.452,-4.044,-1.847,9.305,34.041,1.4252080511386562,9.059,64.471,2.224,-0.49979226792712445,
Romania,ROM,2025,4.393464114959287,1.954,4.42,4.4879999999999995,6.232,40.771,1.6388884247050755,-0.312,49.053,-1.115,-0.7832711637192078,
Russian Federation,RUS,2025,4.074135585651969,3.8,2.886,2.19,4.66,33.381,1.53668467262093,-0.535,49.053,2.032,0.4957074199437906,
Rwanda,RWA,2025,2.971212741536254,5,4.308,10.314,9.305,20.633,1.3827732455867023,-2.096,64.471,-8.756,-1.6064004166119283,
Samoa,WSM,2025,3.639209488412666,2.5,3.658,4.186,5.253,31.511,1.5722324637747456,-1.651,47.248,-2.472,-2.7860740466001634,
SanMarino,SMR,2025,4.673960124529755,1.007,4.42,4.4879999999999995,8.262,20.036,1.3870871386610049,-3.444,49.053,-0.363,-2.559773641369708,
Sao Tome and Principe,STP,2025,3.387012324489727,3.49,4.273,0.447,9.305,22.871,1.3788700983989748,-0.653,64.471,-7.397,-2.9641438716379325,
SaudiArabia,SAU,2025,4.343629131821497,1.963,2.669,2.232,9.305,31.376,1.5345844883785047,-1.928,26.144,-0.913,0.17019918888280436,
Senegal,SEN,2025,3.284787047523528,1.5,13.638,70.626,9.305,21.484,1.3884919618358005,-1.049,64.471,-3.496,-1.1622089502270545,
Serbia,SRB,2025,3.9962121158178214,2.575,7.151,9.065,12.367,40.771,1.6126461317557277,1.598,47.171,-5.763,-0.892710249351533,
Seychelles,SYC,2025,4.20881072587367,3,9.663,13.044,3,35.792,1.5652691607963563,2.269,68.439,-21.978,-2.499313736455188,
SierraLeone,SLE,2025,2.6747527831432483,10.45,0.33,1.939,9.305,17.119,1.2949949938591,-0.117,64.471,-12.653,-2.1391458040933253,
Singapore,SGP,2025,4.822061847364627,1.38,4.001,3.794,2.1,17.404,1.173186268412274,-2.501,35.7815,14.293,-0.14620940969985255,
Sint Maarten (Dutchpart),SXM,2025,3.9526646051191685,2.34,4.828,4.7524999999999995,8.326,25.984,1.458123944661062,0.251,54.8855,-3.306,-1.2746971515467962,
Slovak Republic,SVK,2025,4.393464114959287,1.962,5.822,4.945,6.386,43.581,1.667424932987244,-1.892,49.053,-4.49,-0.6076639780726291,
Slovenia,SVN,2025,4.509381581465687,1.773,7.765,6.065,4.6,43.319,1.6388884247050755,1.005,49.053,2.057,-0.9150320983828136,
Solomon Islands,SLB,2025,3.4399182017047356,3.646,2.077,2.886,5.253,32.398,1.5622095671161094,-3.699,15.912,-11.912,-2.440472617959021,
Somalia,SOM,2025,3.3650384821957053,3.432,4.327500000000001,4.638,9.305,13.471,1.398148420008631,-1.0915,64.471,-13.176,-1.956477917997813,
South Africa,ZAF,2025,3.7644765213929055,4.5,2.763,2.52,37.49,28.962,1.5388752225255953,0.235,84.988,-1.982,-0.17234431105058307,
South Sudan,SSD,2025,2.54834518787123,19.3,4.327500000000001,4.638,9.305,33.2,1.4877744973806672,3.326,64.471,-11.821,-2.018131516731068,
Spain,ESP,2025,4.543065777899422,1.586,4.453,7.156,14.883,40.286,1.6533861968338086,-2.383,105.904,2.005,0.46670790729253914,
